********* DUMMY
********* DUMMY
 MESPLAN=            8  ANOPLAN=         2020
   32 CACH.DOURAD    1666.00   3163.00   3051.00   1859.00   1239.00    889.00    684.00    450.00    340.00    337.00    484.00   1326.00
   33 SAO SIMAO      2596.00   4737.00   4732.00   3019.00   2107.00   1526.00   1203.00    866.00    633.00    625.00    829.00   2277.00
   34 I.SOLTEIRA     5718.00  10208.00   9284.00   5630.00   3933.00   3175.00   2518.00   2111.00   1604.00   1628.00   2237.00   5122.00
   37 BARRA BONIT     524.00    959.00    440.00    215.00    162.00    247.00    194.00    156.00    182.00    120.00    246.00    357.00
   38 A.S.LIMA        586.00   1049.00    517.00    266.00    200.00    275.00    227.00    193.00    217.00    153.00    281.00    416.00
   39 IBITINGA        711.00   1236.00    655.00    359.00    276.00    331.00    291.00    262.00    283.00    216.00    356.00    524.00
   40 PROMISSAO       837.00   1303.00    772.00    432.00    338.00    365.00    353.00    323.00    331.00    256.00    403.00    642.00
   42 NAVANHANDAV     888.00   1331.00    818.00    461.00    362.00    382.00    380.00    347.00    350.00    273.00    423.00    686.00
   43 T.IRMAOS        913.00   1328.00    880.00    489.00    376.00    384.00    416.00    359.00    353.00    278.00    420.00    713.00
   44 I.SOLT. EQV    6631.00  11536.00  10164.00   6119.00   4310.00   3559.00   2934.00   2470.00   1957.00   1906.00   2657.00   5835.00
   45 JUPIA          7008.00  12120.00  10639.00   6497.00   4636.00   3867.00   3213.00   2834.00   2148.00   2229.00   3016.00   6289.00
   46 P.PRIMAVERA    7750.00  13063.00  11699.00   7375.00   5388.00   4616.00   3874.00   3506.00   2927.00   2823.00   3436.00   7276.00
   47 A.A.LAYDNER     151.00    247.00    141.00     78.00     68.00    100.00    113.00     87.00    108.00     60.00    116.00    187.00
   48 PIRAJU          155.00    250.00    143.00     80.00     70.00    102.00    117.00     89.00    110.00     62.00    119.00    193.00
   49 CHAVANTES       231.00    331.00    187.00    110.00    108.00    177.00    187.00    135.00    152.00     91.00    204.00    301.00
   50 L.N. GARCEZ     308.00    484.00    275.00    181.00    175.00    254.00    257.00    205.00    215.00    136.00    270.00    391.00
   51 CANOAS II       314.00    495.00    282.00    186.00    180.00    259.00    263.00    210.00    219.00    139.00    273.00    399.00
   52 CANOAS I        327.00    519.00    297.00    198.00    190.00    270.00    274.00    221.00    229.00    147.00    282.00    415.00
   54 STA BRANCA       68.00     47.00     17.00     10.00     24.00     64.00     65.00     48.00     66.00     57.00     89.00    119.00
   55 TIBAGI MONT      79.00     57.00     23.00     17.00     28.00     73.00     76.00     66.00     74.00     81.00    101.00    137.00
   57 MAUA            141.00    104.00     57.00     39.00     46.00    109.00    119.00     96.00    116.00     93.00    157.00    218.00
   58 SAO JERONIM     211.00    187.00    118.00     90.00     92.00    166.00    153.00    148.00    170.00    120.00    159.00    296.00
   61 CAPIVARA        730.00    877.00    522.00    371.00    367.00    587.00    567.00    505.00    555.00    377.00    586.00    981.00
   62 TAQUARUCU       796.00    930.00    577.00    415.00    409.00    623.00    619.00    539.00    588.00    408.00    604.00   1066.00
   63 ROSANA          950.00   1059.00    700.00    516.00    508.00    719.00    735.00    620.00    665.00    479.00    658.00   1257.00
   65 S GDE CHOPI      32.00     32.00     21.00     13.00     49.00    125.00     63.00     19.00     11.00     13.00     41.00     61.00
   66 ITAIPU        10912.00  15455.00  14634.00   9300.00   7264.00   7026.00   6208.00   5502.00   4871.00   4382.00   5414.00  11290.00
   70 JORDAO           10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00
   71 STA CLARA P      45.00     31.00     16.00     10.00     27.00    102.00     63.00     29.00     29.00     23.00     41.00     55.00
   72 FUNDAO           47.00     33.00     17.00     11.00     29.00    110.00     68.00     31.00     30.00     24.00     44.00     58.00
   73 JORDAO           56.00     41.00     22.00     16.00     36.00    140.00     88.00     40.00     37.00     31.00     56.00     69.00
   74 G.B.MUNHOZ      246.00    221.00    184.00     84.00     93.00    471.00    311.00    179.00    313.00    301.00    331.00    382.00
   75 SEGREDO         336.00    289.00    229.00    111.00    153.00    752.00    493.00    254.00    368.00    358.00    438.00    504.00
   76 SEGREDO         290.00    258.00    217.00    105.00    127.00    622.00    415.00    224.00    341.00    337.00    392.00    445.00
   77 SLT.SANTIAG     382.00    332.00    267.00    135.00    217.00    898.00    576.00    286.00    388.00    384.00    493.00    585.00
   78 SALTO OSORI     396.00    342.00    283.00    142.00    237.00    949.00    607.00    296.00    390.00    390.00    509.00    614.00
   80 SAO JOAO         21.00     20.00     14.00      8.00     31.00     80.00     40.00     12.00      7.00      9.00     27.00     39.00
   81 BAIXO IGUAC     519.00    461.00    365.00    191.00    421.00   1424.00    846.00    369.00    433.00    440.00    665.00    846.00
   83 CACHOEIRINH      22.00     22.00     15.00      9.00     34.00     86.00     43.00     13.00      8.00      9.00     28.00     42.00
   85 PAI QUERE        48.00     28.00      9.00      7.00     11.00     62.00    405.00     42.00     47.00    118.00    201.00     42.00
   88 SAO ROQUE        77.00     70.00     36.00     25.00     17.00    119.00    188.00     39.00     48.00    122.00    288.00     82.00
   89 GARIBALDI        94.00     82.00     44.00     28.00     22.00    152.00    243.00     66.00     65.00    150.00    348.00     99.00
   92 ITA             330.00    249.00    145.00     75.00    143.00    856.00   1898.00    277.00    264.00    607.00   1326.00    384.00
   93 PASSO FUNDO      20.00     14.00      8.00      8.00     22.00     80.00    176.00     19.00     12.00     28.00     60.00     19.00
   94 FOZ CHAPECO     415.00    343.00    227.00    148.00    256.00   1334.00   2446.00    384.00    346.00    725.00   1578.00    515.00
   97 MONTE CLARO      76.00     63.00     26.00     14.00     24.00    103.00   1234.00     78.00    109.00    338.00    590.00     60.00
   98 CASTRO ALVE      52.00     41.00     14.00      9.00     11.00     54.00    906.00     43.00     63.00    209.00    377.00     29.00
   99 ESPORA           65.00     97.00     90.00     72.00     58.00     55.00     52.00     55.00     51.00     55.00     61.00     78.00
  100 CUBATAO           5.00      6.00      6.00      5.00      4.00      4.00      4.00      3.00      4.00      5.00      5.00      5.00
  101 SALTO PILAO      30.00     44.00     16.00      9.00      6.00     26.00     51.00     23.00     37.00     66.00    116.00     36.00
  102 SAO JOSE        101.00     60.00     36.00     32.00     93.00    189.00    853.00    165.00    148.00    283.00    541.00    135.00
  103 PASSO SAO J     105.00     63.00     37.00     34.00     95.00    185.00    888.00    173.00    154.00    289.00    564.00    142.00
  104 TRAICAO          63.00    104.00     58.00     30.00     28.00     39.00     29.00     35.00     42.00     33.00     38.00     37.00
  109 PEDREIRA         31.00     54.00     30.00     12.00     12.00     19.00     12.00     16.00     22.00     16.00     18.00     16.00
  110 ERNESTINA        24.00     16.00     13.00     12.00     18.00     28.00    152.00     28.00     25.00     53.00     69.00     20.00
  111 PASSO REAL       95.00     43.00     26.00     28.00     72.00    136.00    832.00    138.00    118.00    285.00    544.00    124.00
  112 JACUI            96.00     43.00     26.00     29.00     73.00    136.00    839.00    140.00    119.00    291.00    550.00    125.00
  113 ITAUBA          102.00     48.00     33.00     33.00     99.00    176.00    996.00    170.00    149.00    453.00    670.00    132.00
  114 D.FRANCISCA     108.00     52.00     41.00     38.00    129.00    227.00   1171.00    204.00    181.00    637.00    799.00    139.00
  115 G.P.SOUZA        15.00     15.00     10.00      6.00      5.00      7.00      7.00     15.00     17.00     12.00     18.00     14.00
  116 HENRY BORDE       7.00     13.00      7.00      2.00      2.00      4.00      3.00      4.00      5.00      4.00      4.00      4.00
  117 GUARAPIRANG      32.00     50.00     28.00     18.00     16.00     20.00     17.00     19.00     20.00     17.00     20.00     21.00
  118 BILLINGS         31.00     54.00     30.00     12.00     12.00     19.00     12.00     16.00     22.00     16.00     18.00     16.00
  119 BILLINGS         38.00     67.00     37.00     14.00     14.00     23.00     15.00     20.00     27.00     20.00     22.00     20.00
  120 JAGUARI          29.00     62.00     34.00     17.00     14.00     12.00     10.00     12.00     12.00      9.00     13.00     18.00
  121 PARAIBUNA        85.00    123.00     76.00     43.00     37.00     36.00     32.00     39.00     40.00     36.00     43.00     48.00
  122 SANTA BRANC      99.00    150.00     94.00     51.00     42.00     40.00     36.00     43.00     44.00     40.00     49.00     58.00
  123 FUNIL           273.00    475.00    325.00    155.00    110.00     96.00     84.00     98.00    101.00     91.00    119.00    190.00
  125 STA CECILIA     376.00    637.00    470.00    206.00    143.00    122.00    102.00    116.00    118.00    116.00    150.00    266.00
  126 SIMPLICIO       340.00    340.00    340.00    242.00    117.00     81.00     52.00     20.00     23.00     28.00     77.00    270.00
  127 ANTA_ARTF       525.00    912.00    743.00    332.00    207.00    171.00    142.00    110.00    113.00    118.00    167.00    360.00
  129 ANTA            710.00   1117.00    943.00    467.00    310.00    257.00    213.00    197.00    199.00    202.00    275.00    536.00
  130 I. POMBOS       790.00   1239.00   1080.00    546.00    359.00    300.00    257.00    219.00    222.00    227.00    310.00    595.00
  131 NILO PECANH     144.00    144.00    144.00    124.00     94.00     79.00     66.00     77.00     78.00     76.00     98.00    144.00
  132 LAJES            24.00     38.00     36.00     16.00     13.00     10.00      7.00     14.00     11.00     11.00     14.00     15.00
  134 SALTO GRAND     244.00    190.00    373.00    143.00     99.00     65.00     54.00     26.00     20.00     23.00     68.00    175.00
  135 BARRA BRAUN     208.00    188.00    159.00    117.00     89.00     76.00     67.00     59.00     60.00     70.00    109.00    173.00
  141 BAGUARI         855.00    730.00   1125.00    525.00    374.00    283.00    239.00    108.00     94.00     98.00    217.00    513.00
  144 MASCARENHAS    1175.00   1087.00   1621.00    830.00    609.00    467.00    382.00    160.00    144.00    161.00    316.00    810.00
  145 RONDON II       125.00    176.00    146.00    117.00     94.00     81.00     62.00     57.00     62.00     76.00     76.00    111.00
  148 AIMORES        1064.00    966.00   1457.00    729.00    530.00    406.00    334.00    143.00    127.00    140.00    281.00    711.00
  149 CANDONGA        299.00    301.00    353.00    170.00    119.00     94.00     82.00     41.00     38.00     31.00     67.00    130.00
  154 SAO DOMINGO     122.00    146.00    123.00    117.00    112.00    105.00     92.00    106.00     95.00     96.00    104.00    133.00
  155 RETIRO BAIX     226.00    313.00    277.00    134.00     78.00     58.00     45.00     32.00     25.00     32.00     51.00    118.00
  156 TRES MARIAS     982.00   1747.00   1651.00    651.00    384.00    285.00    214.00    125.00     74.00     81.00    228.00    714.00
  158 QUEIMADO         28.00     51.00     88.00     79.00     58.00     43.00     34.00     19.00     16.00     13.00     12.00     22.00
  160 ALTO TIETÊ       11.00     16.00     10.00      5.00      5.00      5.00      4.00      6.00      6.00      5.00      6.00      7.00
  161 E.SOUZA         211.00    353.00    144.00     49.00     43.00     95.00     62.00     57.00     84.00     53.00     84.00    116.00
  164 E.SOUZA         148.00    249.00     86.00     19.00     15.00     56.00     33.00     22.00     42.00     20.00     46.00     79.00
  168 SOBRADINHO     1189.00   2732.00   2801.00   2619.00   1273.00    748.00    631.00    343.00    291.00    223.00    254.00   1061.00
  169 SOBRADINHO     1911.00   4120.00   4728.00   3898.00   1823.00   1134.00    912.00    509.00    402.00    309.00    390.00   1555.00
  171 ITAPARICA F       0.00     10.00      8.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  172 ITAPARICA      1937.00   4040.00   4729.00   4072.00   1904.00   1156.00    923.00    515.00    411.00    311.00    374.00   1423.00
  173 MOXOTO         1937.00   4040.00   4729.00   4072.00   1904.00   1156.00    923.00    515.00    411.00    311.00    374.00   1423.00
  175 P.AFONSO 12    1937.00   4040.00   4729.00   4072.00   1904.00   1156.00    923.00    515.00    411.00    311.00    374.00   1423.00
  176 COMP. MOXOT    1937.00   4040.00   4729.00   4072.00   1904.00   1156.00    923.00    515.00    411.00    311.00    374.00   1423.00
  178 XINGO          1945.00   3939.00   4712.00   4152.00   1946.00   1165.00    928.00    519.00    415.00    321.00    370.00   1357.00
  183 SA CARVALHO     178.00     99.00    163.00     76.00     52.00     42.00     35.00     19.00     15.00     16.00     46.00     70.00
  187 COUTO MAGAL     122.00    123.00    122.00    101.00     87.00     77.00     68.00     62.00     61.00     68.00     86.00    112.00
  188 ITAPEBI         243.00    473.00    710.00    208.00    101.00     68.00     37.00     35.00     20.00     15.00     28.00    224.00
  190 B. ESPERANC     371.00    485.00    978.00    764.00    393.00    311.00    231.00    195.00    189.00    207.00    192.00    217.00
  191 CANA BRAVA      848.00   1476.00   2024.00   1419.00    671.00    417.00    291.00    150.00    105.00    126.00    209.00    300.00
  196 ROSAL           107.00     93.00    104.00     56.00     38.00     28.00     22.00     10.00      8.00      9.00     46.00     50.00
  197 PICADA           38.00     85.00     71.00     39.00     26.00     22.00     19.00     11.00     11.00     12.00     20.00     36.00
  198 SOBRAGI          93.00    141.00    125.00     81.00     64.00     46.00     40.00     18.00     18.00     24.00     39.00     78.00
  199 ITAOCARA I      827.00   1297.00   1131.00    572.00    376.00    314.00    269.00    229.00    232.00    238.00    325.00    623.00
  201 TOCOS            17.00     31.00     28.00     11.00      9.00      7.00      5.00     10.00      8.00      8.00     10.00     11.00
  202 LAJES             7.00     13.00     11.00      5.00      4.00      3.00      2.00      4.00      3.00      3.00      4.00      4.00
  203 SANTANA          25.00     45.00     40.00     16.00     13.00     10.00      7.00     14.00     12.00     11.00     14.00     16.00
  204 CACH.CALDEI     623.00    669.00    711.00   1648.00   2171.00   1614.00   1328.00    972.00    520.00    315.00    329.00    549.00
  205 CORUMBA IV      173.00    246.00    265.00    211.00    122.00     72.00     55.00     31.00     23.00     23.00     38.00     80.00
  206 MIRANDA         374.00    704.00    632.00    343.00    246.00    185.00    140.00    106.00     87.00     90.00    108.00    282.00
  207 CAPIM BRANC     373.00    705.00    638.00    345.00    247.00    186.00    141.00    107.00     87.00     90.00    109.00    283.00
  209 CORUMBA I       444.00    727.00    837.00    630.00    378.00    239.00    180.00    109.00     75.00     71.00    127.00    282.00
  211 FUNIL-GRAND     307.00    740.00    520.00    285.00    175.00    144.00    120.00     79.00     74.00     86.00    153.00    256.00
  215 BARRA GRAND      90.00     53.00     17.00     13.00     21.00    117.00    761.00     79.00     89.00    221.00    378.00     78.00
  216 CAMPOS NOVO     100.00     84.00     46.00     29.00     22.00    188.00    294.00     70.00     66.00    171.00    396.00    106.00
  217 MACHADINHO      266.00    188.00    107.00     66.00     82.00    436.00   1429.00    227.00    214.00    487.00   1019.00    282.00
  220 MONJOLINHO       34.00     24.00     13.00     14.00     37.00    136.00    301.00     33.00     21.00     47.00    103.00     33.00
  222 SALTO CAXIA     486.00    430.00    342.00    178.00    373.00   1298.00    781.00    349.00    422.00    427.00    624.00    783.00
  225 SLT APIACAS     379.00    476.00    511.00    376.00    187.00     75.00     40.00     25.00     20.00     31.00     76.00    213.00
  227 SINOP           815.00   1212.00   1267.00   1023.00    672.00    501.00    371.00    473.00    395.00    491.00    594.00    791.00
  228 COLIDER         894.00   1322.00   1380.00   1115.00    745.00    562.00    421.00    475.00    415.00    558.00    658.00    878.00
  229 TELES PIRES    2573.00   3643.00   5359.00   4164.00   2462.00   1243.00    747.00    611.00    478.00    746.00   1142.00   2211.00
  230 SAO MANOEL     2590.00   3643.00   5397.00   4199.00   2497.00   1256.00    754.00    614.00    479.00    745.00   1138.00   2213.00
  237 BARRA BONIT     602.00   1088.00    507.00    247.00    191.00    292.00    226.00    193.00    228.00    155.00    289.00    402.00
  238 A.S.LIMA        664.00   1178.00    584.00    298.00    230.00    320.00    259.00    230.00    263.00    188.00    324.00    461.00
  239 IBITINGA        789.00   1365.00    722.00    391.00    306.00    376.00    323.00    299.00    329.00    251.00    399.00    569.00
  240 PROMISSAO       915.00   1432.00    839.00    464.00    368.00    410.00    385.00    360.00    377.00    291.00    446.00    687.00
  241 SALTO DO RI     171.00    234.00    204.00    156.00    135.00    119.00    106.00    123.00    104.00    112.00    128.00    206.00
  242 NAVANHANDAV     966.00   1460.00    885.00    493.00    392.00    427.00    412.00    384.00    396.00    308.00    466.00    731.00
  243 T.IRMAOS        991.00   1457.00    947.00    521.00    406.00    429.00    448.00    396.00    399.00    313.00    463.00    758.00
  244 I.SOLT. EQV    6709.00  11665.00  10231.00   6151.00   4339.00   3604.00   2966.00   2507.00   2003.00   1941.00   2700.00   5880.00
  245 JUPIA          7086.00  12249.00  10706.00   6529.00   4665.00   3912.00   3245.00   2871.00   2194.00   2264.00   3059.00   6334.00
  246 P.PRIMAVERA    7828.00  13192.00  11766.00   7407.00   5417.00   4661.00   3906.00   3543.00   2973.00   2858.00   3479.00   7321.00
  247 CACU            171.00    253.00    221.00    165.00    128.00     97.00     79.00     83.00     66.00     78.00    102.00    192.00
  248 BARRA DOS C     177.00    263.00    231.00    172.00    134.00    101.00     83.00     87.00     69.00     81.00    105.00    200.00
  249 OURINHOS        234.00    337.00    191.00    113.00    111.00    179.00    191.00    138.00    154.00     93.00    205.00    305.00
  251 SERRA FACAO     179.00    349.00    358.00    282.00    164.00    109.00     79.00     51.00     31.00     23.00     43.00    107.00
  252 ITIQUIRA II      65.00     95.00     93.00     68.00     58.00     49.00     43.00     49.00     44.00     49.00     61.00     66.00
  253 SAO SALVADO     900.00   1582.00   2230.00   1660.00    746.00    451.00    312.00    160.00    116.00    137.00    225.00    324.00
  254 P.CAVALO         72.00     80.00    161.00    209.00     60.00     40.00     42.00     32.00     14.00      6.00      7.00      5.00
  255 IRAPE           341.00    160.00    422.00    112.00     49.00     30.00     22.00      5.00      4.00      3.00     32.00    149.00
  257 PEIXE ANGIC    1437.00   2467.00   3965.00   3379.00   1275.00    700.00    459.00    232.00    204.00    234.00    371.00    508.00
  258 MURTA           328.00    200.00    459.00    124.00     56.00     35.00     24.00      9.00      6.00      5.00     31.00    159.00
  259 ITIQUIRA I       65.00     95.00     93.00     68.00     58.00     49.00     43.00     49.00     44.00     49.00     61.00     66.00
  261 FOZ DO RIO      190.00    281.00    249.00    186.00    144.00    109.00     89.00     93.00     74.00     87.00    111.00    215.00
  262 GUILMAN-AMO     172.00     92.00    152.00     70.00     48.00     38.00     32.00     18.00     14.00     15.00     44.00     64.00
  263 P. ESTRELA      250.00    196.00    382.00    148.00    103.00     69.00     57.00     27.00     21.00     24.00     69.00    181.00
  265 TRAIRA           35.00     38.00     57.00     34.00     26.00     21.00     16.00      6.00      5.00      7.00     10.00     34.00
  266 ITAIPU        10990.00  15584.00  14701.00   9332.00   7293.00   7071.00   6240.00   5539.00   4917.00   4417.00   5457.00  11335.00
  267 BAU I           297.00    299.00    350.00    169.00    118.00     93.00     81.00     41.00     38.00     31.00     66.00    129.00
  269 BALBINA         580.00    301.00    434.00   1077.00   1724.00   1178.00    670.00    375.00    335.00    470.00    522.00    881.00
  270 SERRA MESA      784.00   1369.00   1804.00   1188.00    599.00    383.00    272.00    140.00     94.00    114.00    191.00    277.00
  271 ESTREITO TO    3090.00   5929.00   8793.00   8521.00   3964.00   1999.00   1289.00    790.00    684.00    930.00   1131.00   1463.00
  273 LAJEADO        1783.00   3492.00   5543.00   5395.00   1965.00    990.00    627.00    312.00    294.00    333.00    504.00    706.00
  274 S. QUEBRADA    3151.00   6597.00  11102.00  10888.00   5749.00   2501.00   1268.00    679.00    551.00    686.00    932.00   1390.00
  275 TUCURUI        7295.00  16003.00  27943.00  27532.00  17215.00   7077.00   3212.00   1789.00   1328.00   1755.00   2227.00   3462.00
  276 SANTA ISABE    3499.00   7941.00  14218.00  14051.00   9680.00   3864.00   1641.00    938.00    656.00    903.00   1094.00   1749.00
  277 CURUA-UNA       202.00    231.00    470.00    630.00    555.00    365.00    229.00    145.00    111.00    129.00    139.00    133.00
  278 MANSO           136.00    384.00    172.00     94.00     68.00     49.00     39.00     50.00     50.00     72.00     93.00    158.00
  279 SAMUEL          698.00    949.00   1056.00    795.00    479.00    197.00     94.00     50.00     37.00    112.00    235.00    461.00
  280 COARACY NUN     625.00    671.00    713.00   1649.00   2179.00   1619.00   1333.00    977.00    523.00    316.00    329.00    550.00
  281 PONTE PEDRA      83.00     95.00     82.00     75.00     71.00     65.00     62.00     68.00     66.00     70.00     79.00     82.00
  282 OLHO DAGUA       80.00    119.00    110.00     88.00     71.00     67.00     64.00     67.00     63.00     67.00     75.00     96.00
  283 STA CLARA M      28.00     26.00    126.00     52.00     40.00     29.00     27.00     27.00     15.00      7.00     10.00     25.00
  284 14 DE JULHO      78.00     65.00     27.00     15.00     25.00    103.00   1274.00     82.00    115.00    351.00    622.00     64.00
  285 JIRAU         30065.00  34784.00  33090.00  30451.00  19690.00  12379.00   9350.00   6186.00   3761.00   5533.00   8386.00  19244.00
  286 QUEBRA QUEI      29.00     39.00     20.00     11.00     30.00    114.00     80.00     17.00     18.00     22.00     62.00     52.00
  287 STO ANTONIO   30527.00  34868.00  33832.00  31232.00  20195.00  12679.00   9675.00   6378.00   3847.00   5527.00   8420.00  19011.00
  288 PIMENTAL       6218.00   9561.00  18144.00  22451.00  18446.00   8158.00   3067.00   1441.00    890.00    920.00   1662.00   2817.00
  289 ITUMIRIM         52.00     78.00     73.00     58.00     47.00     44.00     42.00     44.00     41.00     44.00     49.00     63.00
  290 STO ANT JAR     457.00    559.00    535.00   1727.00   2482.00   1911.00   1581.00    979.00    551.00    349.00    247.00    394.00
  291 DARDANELOS      635.00    728.00   1108.00    737.00    375.00    218.00    123.00     69.00     47.00     74.00    129.00    383.00
  292 BELO MONTE     5118.00   7961.00  13900.00  13900.00  13900.00   6558.00   1967.00    541.00    140.00    220.00    862.00   1917.00
  293 BELO MONTE     1535.00   2269.00   5514.00  10123.00   5837.00   2171.00   1315.00   1001.00    812.00    764.00    916.00   1097.00
  294 SALTO           159.00    222.00    183.00    143.00    124.00    109.00     97.00    112.00     94.00    104.00    119.00    191.00
  295 JAURU            76.00     83.00     75.00     72.00     67.00     63.00     61.00     66.00     66.00     69.00     77.00     81.00
  296 GUAPORE          39.00     41.00     37.00     37.00     33.00     31.00     30.00     32.00     31.00     34.00     37.00     39.00
  297 FERREIRA GO     630.00    677.00    719.00   1658.00   2199.00   1632.00   1344.00    986.00    528.00    319.00    332.00    554.00
  298 STA CECILIA     160.00    160.00    160.00    119.00     90.00     76.00     64.00     73.00     74.00     73.00     94.00    160.00
  299 I. POMBOS       605.00   1034.00    880.00    411.00    256.00    214.00    186.00    132.00    136.00    143.00    202.00    419.00
  300 VIGARIO           0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  301 BILLINGS AN      31.00     54.00     30.00     12.00     12.00     19.00     12.00     16.00     22.00     16.00     18.00     16.00
  302 PIMENTAL AR    1100.00   1600.00   4244.00   8551.00   4546.00   1600.00   1100.00    900.00    750.00    700.00    800.00    900.00
  303 FONTES           41.00     51.00     48.00     16.00     13.00     10.00      7.00     14.00     11.00     11.00     14.00     36.00
  304 SANTANA           0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  306 P. PASSOS       185.00    195.00    192.00    140.00    107.00     89.00     73.00     91.00     89.00     87.00    112.00    180.00
  313 ITAGUACU        320.00    358.00    362.00    280.00    196.00    154.00    129.00    112.00    115.00    142.00    184.00    258.00
  314 ITAOCARA I      642.00   1092.00    931.00    437.00    273.00    228.00    198.00    142.00    146.00    154.00    217.00    447.00
  315 SANTANA         168.00    180.00    175.00    124.00     94.00     79.00     66.00     77.00     78.00     76.00     98.00    165.00
  316 VIGARIO         168.00    180.00    175.00    124.00     94.00     79.00     66.00     77.00     78.00     76.00     98.00    165.00
  317 TOCOS             0.00      6.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  318 HENRY BORDE      85.00    142.00     74.00     34.00     32.00     49.00     35.00     41.00     51.00     39.00     47.00     49.00
  319 BILLINGS         78.00    129.00     67.00     32.00     30.00     45.00     32.00     37.00     46.00     35.00     43.00     45.00
  320 BILLINGS_PE      38.00     67.00     37.00     14.00     14.00     23.00     15.00     20.00     27.00     20.00     22.00     20.00
